Isotope,60,65,70,80,90,100,120,150,180,200
1H,12.7,13.9,14.8,15.9,15.8,18.2,19.3,20.8,21.5,22.9
3He,8.5e-3,1.5e-3,9.0e-3,6.7e-3,7.3e-4,0,0,0,0,0
4He,16.4,21.2,21.6,25.4,25.4,28.7,38.0,49.6,57.6,55.8
12C,2.4e-2,4.3e-1,1.08,6.5e-1,7.3e-1,8.6e-1,4.21,11.3,9.00,6.89
13C,3.0e-5,1.2e-2,1.2e-1,8.0e-2,9.2e-2,1.7e-3,4.8e-1,6.5e-1,8.0e-1,6.7e-1
14C,5.5e-3,3.0e-5,4.2e-7,2.3e-5,2.2e-6,0,0,0,0,0
14N,1.7e-3,1.2e-1,2.7e-1,4.0e-1,3.4e-1,8.9e-3,1.23,1.81,2.52,2.42
15N,1.3e-4,9.1e-4,1.4e-2,1.3e-2,5.6e-3,0,0,7.3e-7,6.6e-6,6.4e-6
16O,3.3e-2,4.3e-1,2.23,3.32,5.01,5.89,9.50,57.0,55.6,65.4
17O,2.4e-7,5.7e-5,3.1e-4,1.2e-3,1.3e-3,1.4e-5,1.4e-3,2.1e-3,3.0e-3,1.1e-2
18O,9.5e-8,5.6e-6,3.8e-7,3.1e-6,1.8e-6,2.6e-5,1.7e-6,9.8e-6,1.4e-5,1.7e-5
18F,3.3e-7,1.5e-5,1.3e-6,7.7e-9,0,0,0,0,0,0
19F,1.1e-6,3.2e-8,1.2e-8,1.5e-5,4.5e-8,4.3e-9,5.7e-8,1.0e-4,1.1e-5,5.7e-7
20Ne,6.2e-3,4.0e-4,7.4e-3,7.1e-2,1.4e-1,5.8e-1,1.4e-1,5.01,4.22,4.26
21Ne,7.1e-6,6.9e-7,4.9e-6,1.4e-5,2.9e-5,3.7e-5,2.4e-5,7.4e-4,5.7e-4,5.5e-4
22Ne,5.8e-5,1.0e-5,3.4e-5,2.6e-5,3.7e-5,4.0e-5,1.3e-4,1.1e-3,1.5e-3,7.4e-4
23Na,7.8e-8,2.0e-7,8.9e-7,9.7e-7,1.8e-6,1.8e-6,3.6e-6,9.1e-3,3.0e-3,2.8e-3
24Mg,1.3e-3,3.7e-6,1.2e-4,5.6e-3,1.2e-2,1.4e-1,1.4e-2,1.53,3.79,4.40
25Mg,6.3e-5,6.6e-7,8.5e-6,3.2e-5,8.1e-5,1.5e-4,4.4e-5,3.8e-3,2.7e-3,5.5e-3
26Mg,2.8e-5,8.0e-7,9.6e-6,2.7e-5,6.2e-5,9.0e-5,4.8e-5,3.8e-3,1.9e-3,2.9e-3
26Al,9.1e-9,3.5e-9,4.6e-9,1.7e-8,2.2e-8,7.1e-9,8.3e-9,0,0,0
27Al,3.8e-8,1.2e-8,3.0e-8,6.0e-8,9.2e-8,8.9e-8,1.0e-7,3.4e-2,1.6e-2,1.7e-2
28Si,0,0,0,0,0,5.9e-10,1.4e-4,3.2e-1,14.8,21.7
29Si,0,0,0,0,0,0,0,2.0e-3,2.2e-2,2.0e-2
30Si,0,0,0,0,0,0,0,6.5e-3,1.3e-3,1.3e-3
31P,0,0,0,0,0,0,0,2.7e-3,1.8e-3,1.3e-3
32S,0,0,0,0,0,0,8.1e-7,9.5e-4,5.27,9.06
33S,0,0,0,0,0,0,0,3.8e-5,3.7e-3,3.7e-3
34S,0,0,0,0,0,0,0,2.1e-4,2.5e-3,7.3e-4
36S,0,0,0,0,0,0,0,1.1e-8,6.2e-9,3.7e-9
35Cl,0,0,0,0,0,0,0,5.6e-5,7.0e-4,3.8e-4
37Cl,0,0,0,0,0,0,0,1.1e-7,6.8e-4,6.8e-4
36Ar,0,0,0,0,0,0,3.8e-10,1.3e-5,6.8e-1,1.36
38Ar,0,0,0,0,0,0,0,4.9e-7,2.9e-3,8.3e-4
39K,0,0,0,0,0,0,0,1.3e-7,9.0e-4,4.8e-4
40K,0,0,0,0,0,0,0,2.5e-10,2.0e-8,9.2e-9
41K,0,0,0,0,0,0,0,2.4e-10,1.5e-4,1.5e-4
40Ca,0,0,0,0,0,0,0,1.5e-8,4.4e-1,1.04
42Ca,0,0,0,0,0,0,0,2.4e-10,7.5e-5,2.2e-5
43Ca,0,0,0,0,0,0,0,0,2.4e-8,9.5e-9
44Ca,0,0,0,0,0,0,0,0,9.6e-5,3.0e-4
45Sc,0,0,0,0,0,0,0,0,3.1e-6,3.5e-6
46Ti,0,0,0,0,0,0,0,0,4.1e-5,1.8e-5
47Ti,0,0,0,0,0,0,0,0,3.6e-7,6.8e-7
48Ti,0,0,0,0,0,0,0,0,9.4e-4,6.6e-3
49Ti,0,0,0,0,0,0,0,0,4.6e-5,1.9e-4
51V,0,0,0,0,0,0,0,0,8.4e-5,3.2e-4
50Cr,0,0,0,0,0,0,0,0,3.9e-4,5.0e-4
52Cr,0,0,0,0,0,0,0,0,1.4e-2,1.4e-1
53Cr,0,0,0,0,0,0,0,0,9.2e-4,5.7e-3
54Cr,0,0,0,0,0,0,0,0,9.7e-9,4.3e-9
55Mn,0,0,0,0,0,0,0,0,3.9e-3,2.3e-2
54Fe,0,0,0,0,0,0,0,0,4.4e-2,9.6e-2
56Fe,0,0,0,0,0,0,0,0,2.4e-1,3.51
57Fe,0,0,0,0,0,0,0,0,1.8e-3,1.6e-2
58Fe,0,0,0,0,0,0,0,0,8.8e-9,6.4e-9
59Co,0,0,0,0,0,0,0,0,4.4e-6,7.0e-6
58Ni,0,0,0,0,0,0,0,0,2.8e-3,1.0e-2
60Ni,0,0,0,0,0,0,0,0,6.5e-6,1.1e-5
61Ni,0,0,0,0,0,0,0,0,9.2e-10,3.6e-7
62Ni,0,0,0,0,0,0,0,0,2.2e-10,1.5e-6
63Cu,0,0,0,0,0,0,0,0,0,5.5e-10
64Zn,0,0,0,0,0,0,0,0,0,8.1e-10
66Zn,0,0,0,0,0,0,0,0,0,1.0e-9
